item_description,item_id,restaurant_id,restaurant,classification,unit_price,address_city
Galinhada executivo,00002d8401f2d47cef5bb54b4e1cea226ec5155f2b5fb5fab4163b71d3eeb281,3848076bc47f22e56d585493e80f8563872b5f6912e7647d346c51096bfb56be,Mineiro Delivery - Boa Viagem,"Almoço por até R$ 13,90",13.9,RECIFE
Original - 250g,00006fa61eebf64da44f96788d6efb4a03f3dbcc6b0cfce08fce3e5095f364f9,c4abeac0f155295b3ca8e0e76a9bb8689b5dc0b9f46093f83745c9c0df13e83c,Kev Dutch Bbq,Burguers - 250g,36,PORTO ALEGRE
Big Esfiha de Peperone e Queijo,00007964e46724000380162eb5bb541bd9213d309e766634396c669c05236fe9,77d9396107f4d55d9867880e8835ea071267bf6ec9a1bca797c112527856163a,Pizzaria Familia Momentos,Esfihas Salgadas ,9.5,SAO PAULO
Torta de limão,0000ba772533c4242eb038da8b2a891d550a1199a2287085a6711728cefffcd6,7ed806a2f84ead6e3edb933dd38e9a40ee3dc8b6a3ce13311a773a6f0af8949b,Dona Zilda Sorveteria,Picolés Premium,6,SAO PAULO
RONDELI PRESUNTO E QUEIJO ESCOLHA SEU MOLHO ,0000bfbb030501276c8b2b845c5d5bd9d40551af6e39ea2a2e52954d83aa8667,e6d9881267919bdbf140f6fe4467d4aa131269cba6f629de8542cf724d88b954,Pastificio Raviollini,Massas,23.5,SAO PAULO
Rolé de frango crocante c/catupiry,0000ef91276d56dba055593ef2e57afa6b7e73e688f069f438b1d8fa087a7cc3,952a94053f9fa572c730953746c1780f51f3b6b0ffefa193252ad3a1c8a469ee,Empório Vó Rita,Aves,23.9,RECIFE
Porçao frango à passarinho,0000f3baba7883b591f80c0ea48ef868f4e4face5d3c6c6513afec8c4dac3f34,11af3363a6d407ddf60c4776aa059ef53edf3f35154d73e4352ba34ceef220da,T J Pizzas E Esfihas,Porções.,25,SAO PAULO
59 - tocchino - porção individual,0000fb1753f2b2ac8c71497306eeda1eae15cafd986dee49b61b52b2a2f0e465,f06c1ab24532207d250238553a7ba03722778c4123a77c930d7afec241e9f0c6,Pizza Crek - Perdizes, pizzas crek salgadas,11,SAO PAULO
Queijo coalho grelhado,000132b1dea8495d596ad10ce26223b458504c227c622846c01db6c3df39478b,4dd4448e1f6369a0839d23e86e3ee2b63f6b6b270a38a32bdba98575e7df7528,Canto Do Espetinho,Espetos grelhados,5,SAO PAULO
coca cola 2litros,00015cb95cd37a56d15804da39eb56421140a0ae4d16dfe898013aee1b42555c,490cb34181d47c270def7ad584cb38f4191bfd2b309b927f5a3e0a391fd0560a,Gonzaga Hotburger,Bebidas,10,RECIFE
Hambúrguer,00016ae989d5a5610e508465ebe8e87847751af6fc360c1d9e289e6766d1e3e9,dca51b1772305b0e0915aa85e24259c86bc8639e547167a4ff50fcc618cc5973,Expresso Burguer,Sanduíches simples,8,RECIFE
CHARGE (40g),0001c09bebe07a727deb1c912ab040cbc786095f2200646b1db3e6805ad6c6ce,7b3ef102bcab1e68150333d18fe9b9802889a92b8957ca0053f8134fbb291bf3,Mix Potato - Limão,DOCES (GERAL) ,2.95,SAO PAULO
MIX AÇAI 500 ML TRADICIONAL,0001fce3edeb586c4022bff15f31d5160187701c447a7b3336a81682e956a7ef,6875964805ed85f3ad21657dc9ee6ff1b38b81335d808546a989fd45f16e1b9b,Comedoria Prime  Pizzaria & Restaurante,Promoções,16.9,RECIFE
Temaki salmao,000219a26b647ac79dc933d7145f880b24c273dcff6e274e42322df39ce5b436,a7ecef882d8f02c10268d31fabf57296fb92b08a54e11ef6621367d6c40f913c,Flying Sushi - Morumbi,Temaki,15.9,SAO PAULO
Temaki salmão grelhado,00029fdf5adc2e3bbe09c3ae947c3a2ad060562007aac158da0731f2c066d542,cc777bebd1eb2d297d86cb607b11939d04910683240c986e1c4c577edf2f1072,Musashi Delivery,Temaki (250g),18.9,SAO PAULO
Combo 42 Coxinhas (Sabores) + 24 Churros,0002afeb18d2b9128f767b0a8f43cfe44e956992c91a7d2b977604b53fff3913,5bad2050c84830203bed65c043f8c9cbfe1cacff4a87f8adbe2ca680dd715316,Ragazzo - Liberdade,Promoções Especiais,95.04,SAO PAULO
Mousse de chocolate,0002afeb18d2b9128f767b0a8f43cfe44e956992c91a7d2b977604b53fff3913,03aa44cbfca3eb65e99a933f751635ce6d4a3f59cead41ec98282c3aa21e76ea,Ragazzo - Radial,Sobremesas,8.9,SAO PAULO
Refrigerante lata,0002c1c188aad49c06f08715a9546ecc925a27203057ef7f899064eeef486da2,628536d2eea07b259e9abac5f89d3219ffaa0e06bd1db104e109fa46b4396ad2,Pastel Croc 30,Bebidas,5.5,SAO PAULO
DOLLY GUARANA  2L,0002d2d8ff95aec93633a879f89c75578c60c880743c45b07fe006956c2bab7e,cbc6f28a28f789770d9beb8d81f4ef44477042b19ebb5580442ec597f5a377cd,Ducheff,BEBIDAS,7,SAO PAULO
Pastel prestígio,0002df17d24cb4f0541a2d67fefe1b3c69923acc52df935ee53067941720abd2,66a724bcc64724545e89fb2a5b3c5648549d270ca695a3b7b0d9c882784965ff,Casa Do Pastel,Pastéis doces,8,SAO PAULO
Omelete pizzaiolo,0002e8047b49d938a08aa054a60a2a2ce3dd4d5570e52a73389b1cb5e6510f99,ef61e6a0e65bba49820c9c7f6f63b7727ef3c3ad326ed86a1e75b380008503e4,Restaurante Viva Melhor Sp Market,Omelete,18,SAO PAULO
XIS DE CARNE COM FRITAS COM FRUKI LATA,000324c84335aac467a6812626efe4b218e3d36f9cac2a524abb565357f76dd6,18be562d35e7e25dc340a976d88fde49c627df20a1a9e66af4cdc839210728f3,Pilão Bar E Lanches,PROMOÇAO,19.9,PORTO ALEGRE
Esfiha alho com provolone,000340c87e1f5e47fc3a1feb5aef94e5bef43991d25fb5e675ec95df0f35b2a0,d7577dcc4dfd8944398d5dfae8c3958255c0b3fc276d899fc6a744d87f90b615,Esfiharia Canaã,Esfihas Salgadas,6.7,SAO PAULO
Poke Ceviche Salmão c/ arroz,000346533f61d7d22aa65eb1d0db2a0de0a2a4b12bc6f5ac53b1ebad537c732a,b61b96ebe339fa36ee2b75c15fe63c78ad991f55ea096284f4ac433ff0d8c248,Gendai - Interlagos,Combo,17.9,SAO PAULO
Suco com 1 item,00034b2e486827209edcf0af370e83aa9994d2dc087a51bb7a58f19f44336930,b2f18a15057f7628bc7fed487ad139a6e3a3cd857567c358561618497aa14d66,Figone,Bebidas,8,SAO PAULO
Canelone ao molho sugo,00035a601d8b1be03afbf7f25f81a54e83a85dfd40aa37af13051e65e66b9623,7b992be60023ad308e2d7f79640404bf88000d6180155ad205300d566d8b9dee,Gigi Marmitex,Massas,19,SAO PAULO
Petit gateau,00037f39cf870a1f49129f9c82d935665d352ffd25ea3296208f6f7b16fd654f,ecbebb20c39a586e83f4c24ad6ea7c64e029f618e0652c77d8aa8164e796400f,New Burguer - Tatuapé,DOCES (SOBREMESAS),17.9,SAO PAULO
Dunkel 355ml,000396fb721406e94adbbcd0ce844de34cde1d39cc5bbd943430a951856a15c4,7aa604b0d71e9e243b44df4f1093c7805af14b17fef2c2345e7f656d4d041a81,Saidera Brasil,Eisenbahn,9,SAO PAULO
